kagakueigano_ichi_kosatsu.txt,単語,頻度,gorono_ronri.txt,単語,頻度,kagaku_bumueno_kugen.txt,単語,頻度,bito_kagaku.txt,単語,頻度,kagakuteki_seishintowa_nanika.txt,単語,頻度,senkono_hi.txt,単語,頻度,gengoto_dogu.txt,単語,頻度,kagakuteki_hohono_tekiyosarenu_baai.txt,単語,頻度,gijutsuno_tetsugaku.txt,単語,頻度,kagaku_jicho.txt,単語,頻度,hanashino_tane.txt,単語,頻度,hikaku_kagakuron.txt,単語,頻度,kokeino_ronri.txt,単語,頻度,futatabi_kagakuno_rekishiteki.txt,単語,頻度,jikkenshitsuno_kioku.txt,単語,頻度,terebino_kagakubangumi.txt,単語,頻度,nihon_saiken.txt,単語,頻度,haru6dai.txt,単語,頻度,ryotekito_shitsuteki.txt,単語,頻度,mangato_kagaku.txt,単語,頻度,gijutsuteki_seishintowa_nanika.txt,単語,頻度,kagakuwa_yakuni_tatsuka.txt,単語,頻度,gijutsue_iku_mondai.txt,単語,頻度,unescoto_kagaku.txt,単語,頻度,saijiki_shinchu.txt,単語,頻度,kagakuto_kagakuno_kannen.txt,単語,頻度,kagakushato_atama.txt,単語,頻度,chikyuno_marui_hanashi.txt,単語,頻度,risshunno_tamago.txt,単語,頻度,seisan'o_mokuhyotosuru_kagaku.txt,単語,頻度,futatabi_kagakuteki_seishinni_tsuite.txt,単語,頻度,mannenfude_ran_yori.txt,単語,頻度,kagakuto_bunka.txt,単語,頻度,kagakuga_hesoo_mageta.txt,単語,頻度,kagakuno_joshiki.txt,単語,頻度,ujino_koyo.txt,単語,頻度,kagakuni_kokorozasu_hitoe.txt,単語,頻度,warerano_tetsugaku.txt,単語,頻度,kokuminno_jinkaku_kojo.txt,単語,頻度,kagakuno_fushigi.txt,単語,頻度,kagakusyato_geijutsuka.txt,単語,頻度,kagakujoni_okeru_ken'ino_kachito_heigai.txt,単語,頻度,minami_taiheiyo_kagaku.txt,単語,頻度,nihonbunkato_kagakuteki_shiso.txt,単語,頻度,saikin_nihonno_kagakuron.txt,単語,頻度,chawanno_yu.txt,単語,頻度,hosokuni_tsuite.txt,単語,頻度,kagakujono_kotto_shumito_onkochishin.txt,単語,頻度,kokuboto_kagaku.txt,単語,頻度,inuga_nakuto_garasuga_kowareruka.txt,単語,頻度,kagakuno_genkai.txt,単語,頻度,kagakuron.txt,単語,頻度,senrigan_sonota.txt,単語,頻度,shakaijijoto_kagakutekiseishin.txt,単語,頻度,kagaku_hohoron.txt,単語,頻度,gijutsuto_kagakutono_gainen.txt,単語,頻度,zerontoroji.txt,単語,頻度
,,,,ろ,1,,終わる,2,,,,,働きかける,2,,,,,あたる,1,,,,,本来,12,,まさ,1,,動かす,5,,内,2,,ファイル,2,,指す,1,,遍,1,,買える,1,,現れる,1,,坊間,1,,そもそも,1,,多数,1,,落ちる,1,,配給,3,,反射,1,,,,,葉柄,1,,角い,1,,伴,1,,帰,1,,弾性,2,,下,1,,行為,2,,,,,様々,1,,簡単,1,,それら,2,,簡単,1,,満足,1,,容易,4,,,,,お話,31,,使命,1,,学問,1,,普段,2,,間にあう,1,,青空,2,,一様,1,,一種,2,,代る,1,,,,,中止,3,,為す,1,,拙著,19,,体,2,,中,1,,物質,18,,間違う,1,,政府,1
,,,,い,1,,ジャーナリスト,2,,,,,立つ,2,,,,,ボランティア,1,,,,,事物,12,,怪物,1,,内,5,,運動,2,,テキスト,1,,優れる,1,,なん,1,,今後,1,,記号,1,,彼,1,,始まり,1,,人々,1,,人生,1,,かける,3,,地球,1,,,,,根元,1,,そう,1,,なう,1,,誰,1,,組み,2,,生じる,1,,目的,2,,,,,偏見,1,,もん,1,,生きる,2,,かむ,1,,古い,1,,家,4,,,,,別,31,,見方,1,,教わる,1,,充分,2,,奇異,1,,文庫,2,,照らす,1,,ガス,2,,近代,1,,,,,待つ,3,,とげる,1,,注目,19,,もつ,2,,現れる,1,,正面,18,,物体,1,,頼む,1
,,,,保存,1,,見方,2,,,,,成り立つ,2,,,,,皆さん,1,,,,,本当,12,,気早,1,,確かめる,5,,降る,2,,現れる,1,,立脚,1,,作りかえる,1,,絶対,1,,注,1,,光,1,,変わる,1,,誤解,1,,観照,1,,考え,3,,近い,1,,,,,薄い,1,,結局,1,,けが,1,,だれ,1,,付き,2,,理,1,,義,2,,,,,伝統,1,,め,1,,報告,2,,ただ,1,,フィル,1,,さまざま,4,,,,,とる,31,,求める,1,,大体,1,,所,2,,感,1,,ファイル,2,,さき,1,,多様,2,,生れる,1,,,,,雷雨,3,,華々しい,1,,事象,19,,再現,2,,記号,1,,叙述,17,,唯名論,1,,アンデス山脈,1
,,,,よい,1,,大切,2,,,,,忘れる,2,,,,,,,,,,,他方,12,,きば,1,,巣,5,,最初,2,,注,1,,余地,1,,内部,1,,小物,1,,主,1,,環,1,,まつ,1,,とく,1,,忠実,1,,唯一,3,,空間,1,,,,,層,1,,果す,1,,恐れる,1,,多い,1,,小文字,2,,理論,1,,風,2,,,,,離れる,1,,円,1,,抱く,2,,種,1,,首,1,,確実,4,,,,,壁,31,,疑い,1,,見せる,1,,謂,2,,わざ,1,,緒論,1,,膨脹,1,,量子,2,,破天荒,1,,,,,けっきょ,3,,成果,1,,現在,19,,確か,2,,ルビ,1,,絶対,17,,片づける,1,,縦横,1
,,,,幸運,1,,眼,2,,,,,独特,2,,,,,,,,,,,資格,12,,若者,1,,インチ,5,,下る,2,,主,1,,残す,1,,ひらく,1,,鍋,1,,外字,1,,数学,1,,題目,1,,適切,1,,卓越,1,,信用,3,,浮動,1,,,,,そこ,1,,役割,1,,大工,1,,気象,1,,組む,2,,形式,1,,我々,2,,,,,自由,1,,なり,1,,牝,2,,動物,1,,釣,1,,かく,4,,,,,新しい,31,,徹底,1,,方法,1,,航海,2,,称する,1,,部,1,,折り曲げる,1,,統計,2,,素,1,,,,,地点,3,,幻惑,1,,世紀,19,,正,2,,注,1,,種類,17,,要する,1,,カ月,1
,,,,わけ,1,,出せる,2,,,,,動く,2,,,,,,,,,,,く,12,,射撃,1,,女,5,,状態,2,,外字,1,,無難,1,,とりかえる,1,,なべ,1,,説明,1,,素養,1,,前提,1,,物質,1,,実業,1,,かまう,3,,莫大,1,,,,,脆い,1,,きく,1,,失敗,1,,染める,1,,円,2,,照応,1,,統一,2,,,,,考察,1,,銭,1,,豹,2,,影響,1,,力学,1,,一定,4,,,,,通,31,,突き止める,1,,流儀,1,,ぢ,2,,最初,1,,テキスト,1,,鮮明,1,,興味,2,,量,1,,,,,畑,3,,人々,1,,出発,19,,まさ,2,,主,1,,よい,17,,資格,1,,とぶ,1
,,,,手軽,1,,きく,2,,,,,昭和,2,,,,,,,,,,,研究所,12,,加える,1,,呼吸,5,,ラジウム,2,,説明,1,,形成,1,,通り,1,,釜,1,,傍点,1,,横たわる,1,,引用,1,,界,1,,利殖,1,,寸,3,,微粒子,1,,,,,誘う,1,,権威,1,,こわがる,1,,成層圏,1,,五徳,2,,事実,1,,水流,2,,,,,無理,1,,いくら,1,,アフリカ,2,,えい,1,,玉,1,,提,4,,,,,造る,31,,純真,1,,徹底,1,,叩く,2,,算法,1,,現れる,1,,くい,1,,十分,2,,世紀,1,,,,,安全,3,,万能,1,,表現,19,,風靡,2,,外字,1,,通達,17,,づける,1,,歩く,1
,,,,てんぽ,1,,いくら,2,,,,,刷,2,,,,,,,,,,,断片,12,,彼方,1,,清浄,5,,尖端,2,,傍点,1,,過程,1,,女学校,1,,かま,1,,位置,1,,認識,1,,行,1,,能,1,,密接,1,,ノーベル,3,,群,1,,,,,天下,1,,結論,1,,命知らず,1,,越える,1,,占める,2,,成果,1,,建築,2,,,,,按排,1,,入る,1,,守備,2,,きょう,1,,発見,1,,力,4,,,,,集める,31,,創見,1,,迷惑,1,,枕,2,,十,1,,記号,1,,鉄砲,1,,証する,2,,特産,1,,,,,もたれる,3,,風潮,1,,倫理,19,,実証,2,,説明,1,,別,17,,呼ぶ,1,,アンデス,1
,,,,仕事,1,,すむ,2,,,,,発行,2,,,,,,,,,,,さ,12,,かなた,1,,応じる,5,,放電,2,,位置,1,,幾つ,1,,ならう,1,,包丁,1,,指定,1,,立場,1,,文句,1,,知,1,,史的,1,,賞,3,,存在,1,,,,,秋,1,,にらみ合う,1,,死骸,1,,確か,1,,君,2,,系統的,1,,耕作,2,,,,,あんばい,1,,鼻紙,1,,兵,2,,ぶと,1,,ひどい,1,,避ける,4,,,,,開く,31,,出会う,1,,申す,1,,荒い,2,,世紀,1,,注,1,,前面,1,,避ける,2,,ケルビン,1,,,,,まえる,3,,段,1,,絶対,19,,開拓,2,,傍点,1,,通り,17,,尤も,1,,夏,1
,,,,学ぶ,1,,魔,2,,,,,校正,2,,,,,,,,,,,占める,12,,消える,1,,く,5,,分布,2,,指定,1,,時代,1,,家計,1,,今回,1,,数字,1,,優越,1,,表わす,1,,所,1,,古来,1,,日本人,3,,証明,1,,,,,示す,1,,止める,1,,がい,1,,達す,1,,雪,2,,指摘,1,,治水,2,,,,,形,1,,もつ,1,,猿,2,,ころ,1,,ひやかす,1,,推理,4,,,,,女王蜂,31,,深刻,1,,ロンドン,1,,意外,2,,せく,1,,主,1,,押しつける,1,,クーロン,2,,原子,1,,,,,あきらめる,3,,解決,1,,忘れる,19,,山川,2,,位置,1,,帰着,17,,以上,1,,桁,1
,,,,生活,1,,気,2,,,,,作成,2,,,,,,,,,,,失う,12,,きっかけ,1,,回,5,,下げる,2,,踊り字,1,,根拠,1,,とり方,1,,切り,1,,面,1,,困難,1,,不幸,1,,知者,1,,指導,1,,与える,3,,立派,1,,,,,話,1,,構築,1,,山の上,1,,馬鹿,1,,マーク,2,,通じる,1,,正しい,2,,,,,とる,1,,頭文字,1,,生涯,2,,はかる,1,,異彩,1,,当人,4,,,,,よう,30,,迫害,1,,滞在,1,,胸,2,,かく,1,,外字,1,,さま,1,,凝集,2,,産む,1,,,,,日常,3,,錯覚,1,,帰着,19,,健次郎,2,,指定,1,,了,17,,尺度,1,,はずれる,1
,,,,記録,1,,毎日新聞,2,,,,,青空,2,,,,,,,,,,,出身,12,,戦闘,1,,備える,5,,見える,2,,くる,1,,妙,1,,生長,1,,他,1,,区点,1,,かたまる,1,,有害,1,,交渉,1,,機動,1,,プリンストン,3,,暦,1,,,,,落葉樹,1,,根本,1,,築く,1,,及ぶ,1,,距離,2,,意見,1,,かくする,2,,,,,能力,1,,イニシャル,1,,改造,2,,無辺,1,,礼,1,,方,4,,,,,歩く,30,,愚弄,1,,ハンプトン,1,,拘る,2,,〇,1,,説明,1,,後ろ,1,,導体,2,,デカルト,1,,,,,昼,3,,陥る,1,,著しい,19,,次,2,,面,1,,連続,17,,指す,1,,こちら,1
,,,,集う,1,,文字,2,,,,,文庫,2,,,,,,,,,,,子弟,12,,準備,1,,鉄道,5,,アルファ線,2,,よう,1,,適当,1,,家庭,1,,仕方,1,,番号,1,,専門,1,,影響,1,,関す,1,,力,1,,度,3,,数える,1,,,,,遅い,1,,理念,1,,殿堂,1,,驚く,1,,ゆすぶる,2,,選び出す,1,,選択,2,,,,,死後,1,,並ぶ,1,,感銘,2,,幅員,1,,讃,1,,組,4,,,,,いける,30,,ぐろう,1,,コート,1,,起す,2,,八,1,,指定,1,,渦巻,1,,領域,2,,荒唐,1,,,,,つぎ,3,,宇宙,1,,連続,19,,感ずる,2,,区点,1,,発生,17,,あたり,1,,愛嬌,1
,,,,一番,1,,長い,2,,,,,ファイル,2,,,,,,,,,,,終局,11,,整える,1,,盛ん,5,,走る,2,,繰り返し,1,,必然,1,,切り,1,,合計,1,,ページ,1,,始末,1,,進展,1,,義,1,,さえる,1,,年間,3,,以上,1,,,,,十分,1,,与える,1,,血,1,,数学,1,,揺れる,2,,ただ,1,,建立,2,,,,,範囲,1,,現代,1,,鳥,2,,もつ,1,,伝記,1,,周囲,4,,,,,円,30,,焦点,1,,離宮,1,,せる,2,,筆算,1,,含蓄,1,,うずまく,1,,一部,2,,仮説,1,,,,,組合せ,3,,流行,1,,結論,19,,部分,2,,番号,1,,自分,17,,すぎる,1,,本人,1
,,,,所以,1,,年月,2,,,,,テキスト,1,,,,,,,,,,,破壊,11,,名,1,,暮,5,,衝突,2,,欧文,1,,与件,1,,盛,1,,全国,1,,数,1,,心,1,,及ぼす,1,,分離,1,,見方,1,,精神,3,,一環,1,,,,,成熟,1,,極端,1,,川,1,,使う,1,,認める,2,,以上,1,,何等,2,,,,,内,1,,人気,1,,遺伝,2,,害,1,,戯作,1,,帰る,4,,,,,激しい,30,,悲惨,1,,拝観,1,,油,2,,代数,1,,対象,1,,起こす,1,,読者,2,,渦動,1,,,,,目方,3,,変える,1,,上部,19,,光,2,,ページ,1,,意見,17,,検討,1,,すすめる,1
,,,,ゆえん,1,,いく,2,,,,,中,1,,,,,,,,,,,国,11,,上がる,1,,信号,5,,飛跡,2,,かこむ,1,,地球,1,,ほか,1,,年間,1,,緒言,1,,貧しい,1,,ポピュラー,1,,香,1,,重大,1,,娘,3,,心算,1,,,,,霜,1,,大方,1,,ほとり,1,,変数,1,,角度,2,,づける,1,,説,2,,,,,見当る,1,,ちょう,1,,内,2,,一端,1,,詩,1,,もどる,4,,,,,帰,30,,境界,1,,記,1,,天井,2,,創案,1,,日常,1,,進む,1,,価値,2,,なす,1,,,,,筋,3,,現われる,1,,利害,19,,完全,2,,行,1,,真,17,,新しい,1,,不服,1
,,,,雪害,1,,有力,2,,,,,現れる,1,,,,,,,,,,,重,11,,射止める,1,,肉,5,,大発見,2,,詳細,1,,位する,1,,飾,1,,正味,1,,謂,1,,等,1,,伝統,1,,高い,1,,精華,1,,明日,3,,範,1,,,,,痛む,1,,理論,1,,咲く,1,,温度,1,,皆,2,,一端,1,,実験,2,,,,,ひる,1,,二,1,,よい,2,,無用,1,,飾る,1,,羈絆,4,,,,,考,30,,沈淪,1,,首,1,,壁,2,,方程式,1,,不可欠,1,,様子,1,,しれる,2,,植物,1,,,,,終わる,3,,資源,1,,水準,19,,身体,2,,世界,1,,主義,17,,普通,1,,初対面,1
,,,,防止,1,,立証,2,,,,,記号,1,,,,,,,,,,,工学,11,,辺り,1,,保存,5,,方面,2,,下記,1,,過去,1,,かざる,1,,ところ,1,,常,1,,速,1,,権威,1,,止む,1,,目下,1,,節約,3,,型,1,,,,,きり,1,,論理,1,,花園,1,,時間,1,,刷,2,,試みる,1,,過ぎる,2,,,,,くい,1,,繰りかえす,1,,言語,2,,論,1,,稚拙,1,,脱する,4,,,,,きれい,30,,ちんりん,1,,引き合わす,1,,いや,2,,行列,1,,夙く,1,,写真,1,,地,2,,ブラウン,1,,,,,こう,3,,夢見る,1,,同一,18,,そこ,2,,混乱,1,,包括,17,,自体,1,,念,1
,,,,策,1,,救い,2,,,,,ルビ,1,,,,,,,,,,,少ない,11,,探す,1,,消毒,5,,ら,2,,参照,1,,材料,1,,がらん,1,,稀,1,,怪しむ,1,,にくい,1,,きかせる,1,,可能,1,,将来,1,,原料,3,,方式,1,,,,,梢,1,,体系,1,,一身,1,,あらわす,1,,発行,2,,本当,1,,学ぶ,2,,,,,経営,1,,近く,1,,医療,2,,ろ,1,,ペン,1,,境遇,4,,,,,生える,30,,買う,1,,くれる,1,,立てる,2,,無限,1,,愚,1,,とる,1,,経験,2,,物好き,1,,,,,順序,3,,飛行機,1,,風,18,,残す,2,,険悪,1,,機会,16,,帰,1,,ことわる,1
,,,,東北,1,,神,2,,,,,注,1,,,,,,,,,,,モメント,11,,姿,1,,調査,5,,見込,2,,くださる,1,,詭弁,1,,うすら寒い,1,,初め,1,,足りる,1,,ガ,1,,民族,1,,微分,1,,従来,1,,ドル,3,,用意,1,,,,,枯れる,1,,代り,1,,利害,1,,やすい,1,,校正,2,,於く,1,,嶄然,2,,,,,方針,1,,通信,1,,すべて,2,,ずるい,1,,画,1,,区別,4,,,,,嵐,30,,会う,1,,面白い,1,,見慣れる,2,,級数,1,,管,1,,切る,1,,進歩,2,,世,1,,,,,吹く,3,,文明,1,,受け取る,18,,霊力,2,,難路,1,,加える,16,,資する,1,,探検,1
,,,,ちご,1,,いえる,2,,,,,主,1,,,,,,,,,,,法,11,,唯,1,,際,5,,九,2,,先年,1,,なくなる,1,,蒼,1,,北大,1,,あれ,1,,リレー,1,,天文学,1,,項,1,,書き直す,1,,記事,3,,形,1,,,,,まま,1,,法律,1,,戦士,1,,とがらす,1,,作成,2,,証明,1,,訴える,2,,,,,真面目,1,,びっくり,1,,西洋,2,,かな,1,,下らない,1,,範囲,4,,,,,そこ,30,,肝胆,1,,室,1,,襲,2,,極大,1,,昔,1,,ほか,1,,説,2,,忘れる,1,,,,,桶,3,,圏,1,,特殊,18,,放射,2,,歩む,1,,発見,16,,理論,1,,隊,1
,,,,採る,1,,遠い,2,,,,,外字,1,,,,,,,,,,,要素,11,,覚える,1,,硫酸,5,,ハーン,2,,創造,1,,所,1,,あう,1,,私,1,,無茶,1,,以来,1,,彼ら,1,,和,1,,手短,1,,額,3,,統計,1,,,,,淋しい,1,,方法,1,,目,1,,先,1,,青空,2,,アインシュタイン,1,,発展,2,,,,,まじめ,1,,千,1,,医学,2,,量,1,,反響,1,,やすい,4,,,,,鍋,30,,相,1,,番目,1,,はれる,2,,極小,1,,先駆,1,,近ごろ,1,,社会,2,,近年,1,,,,,屋,3,,変る,1,,根拠,18,,治す,2,,錯雑,1,,物,16,,検証,1,,隊長,1
,,,,対策,1,,厚い,2,,,,,位置,1,,,,,,,,,,,領域,11,,岩,1,,シカゴ,5,,試みる,2,,見付ける,1,,棄てる,1,,くすい,1,,教室,1,,急,1,,始まる,1,,黎明,1,,積分,1,,見せる,1,,寄与,3,,グラフ,1,,,,,趣,1,,囲碁,1,,見え,1,,むつかしい,1,,ファイル,2,,測定,1,,習俗,2,,,,,縁遠い,1,,ぽい,1,,小説,2,,りょうけん,1,,残す,1,,学,4,,,,,錆,30,,照らす,1,,窓,1,,進む,2,,整数,1,,段階,1,,望遠鏡,1,,主義,2,,到る,1,,,,,もうかる,3,,戦争,1,,含む,18,,治療,2,,紛糾,1,,以上,16,,元来,1,,地質,1
,,,,施設,1,,腐蝕,2,,,,,指定,1,,,,,,,,,,,いう,11,,緑色,1,,交換,5,,普通,2,,序文,1,,適切,1,,すける,1,,助教授,1,,立ち直る,1,,かた,1,,れい,1,,渾然,1,,課題,1,,束縛,3,,幾何,1,,,,,見せる,1,,不幸,1,,従う,1,,見付かる,1,,テキスト,1,,存在,1,,保守,2,,,,,間違う,1,,増,1,,博士,2,,まきちらす,1,,何かしら,1,,画く,4,,,,,雌,30,,会心,1,,方向,1,,心配,2,,三角,1,,開化,1,,一皮,1,,原理,2,,有力,1,,,,,念,3,,貧困,1,,本来,18,,名付ける,2,,関心,1,,矛盾,16,,造る,1,,興味,1
,,,,出,1,,それぞれ,2,,,,,天才,1,,,,,,,,,,,間,11,,方々,1,,灯,5,,基調,2,,頁,1,,基礎,1,,中世,1,,助手,1,,注文,1,,考えつく,1,,め,1,,定まる,1,,代表,1,,反対,3,,図形,1,,,,,土石,1,,悪魔,1,,賢い,1,,天邪鬼,1,,中,1,,拡張,1,,復古,2,,,,,叱る,1,,笑,1,,著述,2,,のみ,1,,いたずら,1,,地面,4,,,,,研究,29,,握手,1,,いい,1,,切,2,,術,1,,小史,1,,かぶさる,1,,どれ,2,,証拠,1,,,,,三味線,3,,おびえる,1,,名,18,,世界中,2,,取り囲む,1,,く,16,,理由,1,,もつ,1
,,,,適切,1,,賛成,2,,,,,和夫,1,,,,,,,,,,,受け取る,11,,夥しい,1,,適当,5,,文化,2,,我,1,,過ぎる,1,,匂,1,,二,1,,半年,1,,ここ,1,,いき,1,,極限,1,,叙述,1,,詳しい,3,,等々,1,,,,,持つ,1,,因果,1,,ゆるむ,1,,あま,1,,現れる,1,,概念,1,,抜き,2,,,,,おし,1,,おく,1,,実験,2,,抵抗,1,,記憶,1,,検査,4,,,,,込む,29,,かわす,1,,記者,1,,直す,2,,等,1,,連続,1,,亀裂,1,,日常,2,,花,1,,,,,整理,3,,異論,1,,形而上学,18,,間,2,,偏向,1,,教える,16,,電子,1,,空気,1
,,,,理論,1,,雪氷,2,,,,,割,1,,,,,,,,,,,著しい,11,,つく,1,,こと,5,,支配,2,,基,1,,広い,1,,印度,1,,週間,1,,過ぎる,1,,コロン,1,,いくら,1,,値,1,,原則,1,,即する,3,,免れる,1,,,,,切れる,1,,因果律,1,,止まる,1,,限り,1,,付く,1,,実在,1,,回避,2,,,,,受ける,1,,点,1,,明らか,2,,力,1,,美しい,1,,便宜,4,,,,,引く,29,,躊躇,1,,同行,1,,我々,2,,高等,1,,圧倒的,1,,きれる,1,,方法,2,,咲く,1,,,,,親,3,,歩,1,,彼等,18,,本気,2,,とく,1,,以前,16,,核,1,,冷える,1
,,,,先進,1,,平均,2,,,,,引く,1,,,,,,,,,,,マルクス主義,11,,好機,1,,距離,5,,物語る,2,,成功,1,,深い,1,,インド,1,,東京,1,,荒い,1,,バス,1,,重要,1,,有する,1,,見当,1,,重要,3,,抽象,1,,,,,結ぶ,1,,論証,1,,しまう,1,,あたりまえ,1,,文字,1,,興味,1,,建設,2,,,,,珍,1,,発射,1,,七,2,,ていこ,1,,青春,1,,種類,4,,,,,くい,29,,ちゅうちょ,1,,温順,1,,連中,2,,爾後,1,,断る,1,,縦横,1,,初学,2,,実用,1,,,,,条件,3,,方々,1,,実質,18,,喜ぶ,2,,見える,1,,完全,16,,崩壊,1,,冷気,1
,,,,充分,1,,運動,2,,,,,借りる,1,,,,,,,,,,,異い,11,,逸す,1,,舞う,5,,異なる,2,,唯一,1,,元来,1,,留学生,1,,来る,1,,野原,1,,殻,1,,卵,1,,面,1,,つく,1,,く,3,,輓近,1,,,,,向う,1,,予見,1,,みんな,1,,許す,1,,列,1,,範疇,1,,偉大,2,,,,,集成,1,,通る,1,,割愛,2,,うり,1,,夢,1,,みなす,4,,,,,うち,29,,目ざす,1,,謙譲,1,,長椅子,2,,明治,1,,同様,1,,破れる,1,,道徳,2,,幾多,1,,,,,影響,3,,顔,1,,等々,18,,着実,2,,正常,1,,特有,16,,転換,1,,塊,1
,,,,問,1,,デンマーク,2,,,,,受ける,1,,,,,,,,,,,多く,11,,方,1,,液体,5,,断言,2,,道具,1,,政策,1,,優秀,1,,準備,1,,工場,1,,つぶす,1,,大,1,,不都合,1,,始める,1,,含む,3,,更,1,,,,,彼方,1,,辺,1,,えらい,1,,けた,1,,始まり,1,,底本,1,,契機,2,,,,,走る,1,,傘,1,,頁,2,,体,1,,底,1,,階段,4,,,,,次ぐ,29,,同一,1,,人柄,1,,やく,2,,初年,1,,割引,1,,私,1,,大正,2,,ガ,1,,,,,新聞,3,,出す,1,,下部,18,,真摯,2,,安らか,1,,正当,16,,莫大,1,,のびる,1
,,,,珍,1,,承知,2,,,,,注意,1,,,,,,,,,,,急速,11,,脱兎,1,,発する,5,,抜き出す,2,,動く,1,,絶対,1,,男女,1,,日間,1,,煙突,1,,デスク,1,,つく,1,,純化,1,,断わる,1,,燐鉱,3,,論理,1,,,,,光熱,1,,複雑,1,,刺激,1,,受け入れる,1,,特定,1,,全集,1,,現実,2,,,,,無垢,1,,かさ,1,,三,2,,養成,1,,留まる,1,,色,4,,,,,続ける,29,,真,1,,服従,1,,馴れる,2,,輩出,1,,あてる,1,,確か,1,,理学,2,,リレー,1,,,,,共鳴,3,,正当,1,,展開,17,,しんし,2,,生命,1,,結合,16,,工業,1,,支配,1
,,,,てん,1,,北海道,2,,,,,先行,1,,,,,,,,,,,比較,11,,如く,1,,有益,5,,具体,2,,変じる,1,,現われる,1,,生,1,,装置,1,,いつ,1,,立てる,1,,藁,1,,洗煉,1,,正しい,1,,原子力,3,,有,1,,,,,浴びる,1,,右,1,,程度,1,,言うまでもない,1,,注,1,,巻,1,,処理,2,,,,,むく,1,,かぶる,1,,〇,2,,ようせい,1,,流行,1,,固定,4,,,,,鼻,29,,生活,1,,宮園,1,,永い,2,,一事,1,,嵌る,1,,湖水,1,,底本,2,,空気,1,,,,,気候,3,,アクセサリー,1,,日本,17,,道,2,,保,1,,詩,16,,用,1,,態,1
,,,,わく,1,,過敏,2,,,,,用途,1,,,,,,,,,,,程度,11,,早い,1,,変化,5,,指摘,2,,頓挫,1,,始め,1,,番,1,,分解,1,,煙,1,,没交渉,1,,わら,1,,それぞれ,1,,平行,1,,量,3,,思想,1,,,,,死灰,1,,左,1,,くさす,1,,行う,1,,主,1,,書房,1,,効能,2,,,,,丁度,1,,輪,1,,創る,2,,おかげ,1,,紫,1,,たくさん,4,,,,,月,29,,建設,1,,鑑賞,1,,生活,2,,能力,1,,おくれる,1,,冬,1,,全集,2,,発明,1,,,,,馬,3,,意見,1,,少い,17,,悪い,2,,常態,1,,自ら,16,,獲得,1,,敬遠,1
,,,,もん,1,,症,2,,,,,折角,1,,,,,,,,,,,検証,11,,ぶん,1,,摂氏,5,,数学,2,,多,1,,仕事,1,,助手,1,,土曜日,1,,賃金,1,,つかさどる,1,,大きい,1,,有限,1,,誰,1,,生かす,3,,斉,1,,,,,宇宙,1,,片づける,1,,いく,1,,一定,1,,外字,1,,初出,1,,古代,2,,,,,天勝,1,,見える,1,,程度,2,,何,1,,色鉛筆,1,,薬,4,,,,,水準,28,,幾多,1,,態度,1,,共,2,,示す,1,,前後,1,,実用,1,,岩波書店,2,,棄てる,1,,,,,村,3,,ジャーナリズム,1,,広い,17,,中村,2,,外れる,1,,標準,16,,窮極,1,,不満,1
,,,,ちん,1,,人道,2,,,,,失う,1,,,,,,,,,,,共軛,11,,始め,1,,特別,5,,フーリエ,2,,源,1,,入り込む,1,,映える,1,,夜,1,,競,1,,人々,1,,水中,1,,数,1,,イデー,1,,１,3,,しく,1,,,,,果,1,,わけ,1,,ぶん,1,,限界,1,,傍点,1,,帝国,1,,運動,2,,,,,てんか,1,,似る,1,,書物,2,,機会,1,,端,1,,達す,4,,,,,どれ,28,,数理,1,,感心,1,,いづ,2,,強い,1,,始まる,1,,つながる,1,,発行,2,,今日,1,,,,,物理,3,,担ぐ,1,,状態,17,,よる,2,,憂慮,1,,位置,15,,粒子,1,,説,1
,,,,広い,1,,誰,2,,,,,末梢,1,,,,,,,,,,,促進,11,,心算,1,,害,5,,級数,2,,うまい,1,,完全,1,,ふん,1,,九,1,,昂騰,1,,三月,1,,入れる,1,,尽す,1,,特徴,1,,気持,3,,イデア,1,,,,,貰う,1,,規定,1,,どこ,1,,言い換える,1,,指定,1,,大学,1,,九,2,,,,,奇術,1,,かっこう,1,,リスト,2,,以外,1,,装飾,1,,毎日,4,,,,,叫ぶ,28,,整合,1,,歯がゆい,1,,信ずる,2,,すべて,1,,小,1,,暖める,1,,校正,2,,標準,1,,,,,博士,3,,頃,1,,能動,17,,がん,2,,虞,1,,数,15,,取り出す,1,,雑誌,1
,,,,著者,1,,風潮,2,,,,,偏,1,,,,,,,,,,,・,10,,つもり,1,,食物,5,,展開,2,,適,1,,違い,1,,いき,1,,運ぶ,1,,緊急,1,,摂氏,1,,あたためる,1,,性質,1,,中心,1,,ひどい,3,,呼ぶ,1,,,,,温熱,1,,誤る,1,,結末,1,,取扱う,1,,数字,1,,新聞,1,,昭和,2,,,,,飯,1,,包む,1,,いつか,2,,媒介,1,,嵌る,1,,食う,4,,,,,食,28,,化学,1,,対象,1,,自己,2,,誇示,1,,著,1,,飛行,1,,作成,2,,逆戻り,1,,,,,利用,3,,取り入れる,1,,挙げる,17,,急死,2,,大気,1,,提出,15,,始まる,1,,いく,1
